time,obs0_x,obs0_y,obs0_z,obs1_x,obs1_y,obs1_z,x,y,z,theta,psi,left,right
0,21.3486290374125,18.0748297264224,-57.1176531498419,38.4940750529573,74.5853130968835,-72.1291060019791,1,1,-50,0,0,0,0
0.1,21.3706904203033,18.1236576058182,-57.130594102097,38.5457683782364,74.5914835847008,-72.136870573332,1.01767768435877,1.00027018707069,-49.999984960271,0.01089328174322,0.023825715825372,0,0
0.2,21.3926820506909,18.1725369691453,-57.1435350543521,38.5974784408379,74.5976201061513,-72.144635144685,1.06862129403693,1.00162840091246,-50.0006342177437,0.03110296949763,0.080515418385002,0,0
0.3,21.4146038555401,18.2214677318225,-57.1564760066072,38.6492052193604,74.6037226454012,-72.152399716038,1.1517308992409,1.00697504121546,-50.0032625265825,0.052339697679593,0.142865499963644,0,0
0.4,21.4364557619105,18.2704498091806,-57.1694169588623,38.700948692391,74.6097911866299,-72.1601642873909,1.26474859726663,1.02013845021527,-50.0091646588434,0.073151671390733,0.190945228718446,0,0
0.5,21.4582376969563,18.3194831164621,-57.1823579111174,38.7527088385044,74.6158257140299,-72.1679288587439,1.40458514972081,1.04322689677007,-50.0194038171363,0.093261390660969,0.224578789503694,0,0
0.6,21.4799495879262,18.3685675688214,-57.1952988633724,38.8044856362634,74.6218262118068,-72.1756934300968,1.56633660170409,1.07605799597477,-50.0346164570277,0.112705298208057,0.250285801957325,0,0
0.7,21.5015913621638,18.4177030813252,-57.2082398156275,38.856279064219,74.6277926641793,-72.1834580014498,1.73806210251819,1.11574988551922,-50.0542694210296,0.131446515555724,0.274952187623283,0,0
0.8,21.5231629471079,18.4668895689521,-57.2211807678826,38.9080891009102,74.6337250553793,-72.1912225728028,1.91402865035481,1.16086541784605,-50.0780004557545,0.14928264750362,0.303835451163152,0,0
0.9,21.5446642702918,18.5161269465932,-57.2341217201377,38.9599157248639,74.6396233696519,-72.1989871441558,2.09287164784947,1.21165658386921,-50.1057635835832,0.16641901130548,0.337584249644809,0,0
1,21.5660952593444,18.5654151290516,-57.2470626723928,39.0117589145951,74.6454875912552,-72.2067517155087,2.27112874727865,1.26804221910664,-50.1370417059883,0.181911149257328,0.374679882648051,0,0
1.1,21.5874558419896,18.6147540310433,-57.2600036246479,39.063618648607,74.6513177044605,-72.2145162868617,2.4482030869802,1.33071389850251,-50.1715196906166,0.192564131804762,0.415832632178698,0,0
1.2,21.6087459460465,18.6641435671966,-57.272944576903,39.1154949053908,74.6571136935522,-72.2222808582147,2.62422696440602,1.40065376369786,-50.2086012485809,0.196853291221925,0.461961392918026,0,0
1.3,21.6299654994297,18.7135836520524,-57.2858855291581,39.1673876634256,74.6628755428282,-72.2300454295676,2.79869636929926,1.47877051500207,-50.2472437441927,0.195526873542437,0.511190764331432,0,0
1.4,21.6511144301495,18.7630742000646,-57.2988264814132,39.219296901179,74.6686032365992,-72.2378100009206,2.97121254464754,1.56595801130149,-50.2865096912713,0.19105712962147,0.560047331902509,0,0
1.5,21.6721926663115,18.8126151255998,-57.3117674336683,39.2712225971062,74.6742967591892,-72.2455745722735,3.14182088967288,1.6627751421048,-50.3257772332028,0.184294883514502,0.605861018985976,0,0
1.6,21.6932001361171,18.8622063429377,-57.3247083859234,39.3231647296508,74.6799560949355,-72.2533391436265,3.31008999836908,1.76886326162705,-50.3645219367832,0.177251933502368,0.648283536215056,0,0
1.7,21.7141367678635,18.9118477662709,-57.3376493381785,39.3751232772445,74.6855812281885,-72.2611037149795,3.47635434228186,1.88419086665782,-50.4026308344075,0.170827792427177,0.688098544866141,0,0
1.8,21.7350024899439,18.9615393097052,-57.3505902904336,39.4270982183072,74.6911721433119,-72.2688682863324,3.64096481051043,2.00868020983398,-50.4402022416137,0.165295797480124,0.722462738597628,0,0
1.9,21.7557972308473,19.0112808872599,-57.3635312426887,39.4790895312465,74.6967288246827,-72.2766328576854,3.80232760875436,2.140184825633,-50.4769592969994,0.160923476438549,0.750854071065429,0,0
2,21.7765209191589,19.0610724128674,-57.3764721949438,39.5310971944587,74.7022512566908,-72.2843974290384,3.96112772635328,2.2780711566764,-50.5131351760076,0.157632481107962,0.772350403699263,0,0
2.1,21.7971734835601,19.1109138003737,-57.3894131471989,39.5831211863279,74.7077394237397,-72.2921620003913,4.11769305214256,2.42103017127485,-50.5488591251621,0.154730440208494,0.792216605071821,0,0
2.2,21.8177548528286,19.1608049635384,-57.402354099454,39.6351614852264,74.7131933102459,-72.2999265717443,4.27155869619129,2.56759990936787,-50.5840222884022,0.152216481238469,0.806354666413033,0,0
2.3,21.8382649558382,19.2107458160348,-57.4152950517091,39.6872180695147,74.7186129006394,-72.3076911430973,4.42406004133766,2.71797950685399,-50.6189348913409,0.150886518852926,0.816332587345707,0,0
2.4,21.8587037215596,19.2607362714499,-57.4282360039642,39.7392909175414,74.7239981793632,-72.3154557144502,4.57470486952268,2.87026860981411,-50.6535625771168,0.151000178838967,0.821200035040683,0,0
2.5,21.8790710790597,19.3107762432846,-57.4411769562193,39.7913800076435,74.7293491308737,-72.3232202858032,4.72517992410651,3.02484661691254,-50.6883431727641,0.151220796628559,0.825239926967709,0,0
2.6,21.8993669575024,19.3608656449538,-57.4541179084744,39.8434853181458,74.7346657396407,-72.3309848571562,4.87499108536145,3.18035468683145,-50.7231582887855,0.15126069957113,0.827179658681723,0,0
2.7,21.9195912861479,19.4110043897866,-57.4670588607295,39.8956068273617,74.7399479901471,-72.3387494285091,5.02361496044325,3.33569359604922,-50.7578423225226,0.151592379505638,0.828866861754288,0,0
2.8,21.9397439943538,19.4611923910263,-57.4799998129846,39.9477445135924,74.7451958668891,-72.3465139998621,5.17188730478772,3.49131711943134,-50.7925372063664,0.151570781536368,0.830851633748195,0,0
2.9,21.9598250115743,19.5114295618302,-57.4929407652397,39.9998983551277,74.7504093543764,-72.3542785712151,5.3195042063291,3.64691378825451,-50.8271494675801,0.151522306676809,0.835297106370098,0,0
3,21.9798342673606,19.5617158152703,-57.5058817174948,40.0520683302454,74.7555884371318,-72.362043142568,5.46520583479842,3.80154441802514,-50.8614340842524,0.151745387027972,0.841060445111775,0,0
3.1,21.9997716913614,19.6120510643331,-57.5188226697498,40.1042544172114,74.7607330996915,-72.369807713921,5.61003381839507,3.95684808831446,-50.8957179248789,0.152342832403399,0.849073614351323,0,0
3.2,22.0196372133222,19.6624352219196,-57.5317636220049,40.1564565942801,74.7658433266051,-72.377572285274,5.75350631777478,4.11290708133639,-50.9299787554322,0.152197093467373,0.856396708779952,0,0
3.3,22.0394307630862,19.7128682008455,-57.54470457426,40.2086748396939,74.7709191024354,-72.3853368566269,5.89476258901197,4.26891458227094,-50.9639604571765,0.152098713767566,0.864546699110427,0,0
3.4,22.0591522705939,19.7633499138415,-57.5576455265151,40.2609091316837,74.7759604117586,-72.3931014279799,6.03352575377047,4.42469907531769,-50.9976078539272,0.15226193771509,0.876345021267426,0,0
3.5,22.0788016658831,19.813880273553,-57.5705864787702,40.3131594484685,74.7809672391644,-72.4008659993329,6.17036440910852,4.58159313892001,-51.0311598694899,0.152934600690131,0.889602017453346,0,0
