time,x,y,z,theta,psi,left,right
0,1,1,-50,0,0,0,0
0.1,1.01749393565766,1.0002710088877,-49.9999843289314,0.010933621078036,0.023822690505027,0,0
0.2,1.06825299498015,1.00163045576572,-50.0006351921736,0.0312769352713,0.080518366930166,0,0
0.3,1.15094098541342,1.006946340534,-50.00327479046,0.053062797123573,0.140798554126961,0,0
0.4,1.26353454442239,1.01988949444263,-50.0092322964941,0.074367329452087,0.185333076101371,0,0
0.5,1.40311242010606,1.04233442548962,-50.0196122458564,0.094977113250394,0.216216218196966,0,0
0.6,1.56480772976542,1.0739954847782,-50.0350781857197,0.114795118840276,0.23922789798891,0,0
0.7,1.73816694212534,1.11237397391369,-50.0552404253082,0.133830521434619,0.26196370090692,0,0
0.8,1.91586816650414,1.15575086333794,-50.0795479985355,0.151261251419312,0.287956681780982,0,0
0.9,2.09561155209745,1.20405126204377,-50.1077034536988,0.167404892226324,0.318603009566094,0,0
1,2.2753586981195,1.25755203705499,-50.1392691221738,0.180967542415221,0.352280388174522,0,0
1.1,2.45452316677292,1.3168807361599,-50.1737939437346,0.189538522002523,0.391305624603326,0,0
1.2,2.63266588062763,1.382920309518,-50.2105129695646,0.192940624474296,0.43439460990837,0,0
1.3,2.81042328741353,1.45708125104855,-50.2487468970668,0.190860663973613,0.479888142268166,0,0
1.4,2.9873547839788,1.54007392915766,-50.2875504480453,0.185875131362869,0.522704116796535,0,0
1.5,3.16283062742012,1.63179351461684,-50.3262249856314,0.180083977947876,0.564193412054033,0,0
1.6,3.33738899550206,1.73258310877768,-50.3645780613507,0.173730254135709,0.603198525627499,0,0
1.7,3.50998974925759,1.84157293125757,-50.4022634592507,0.168147679280733,0.637207389655935,0,0
1.8,3.6803404823205,1.95789310806098,-50.4392082737533,0.162996363284857,0.667273130883591,0,0
1.9,3.84862369060357,2.08087469218326,-50.4754609781704,0.158217069275798,0.692624901958448,0,0
2,4.01490113798295,2.20957861025962,-50.5110881656145,0.15570120316926,0.711910541428911,0,0
2.1,4.1793874228911,2.34285789491313,-50.5463368559833,0.154055580129591,0.726180032664777,0,0
2.2,4.34245861129206,2.47968248488863,-50.5814021245966,0.153407289389204,0.735214959841696,0,0
2.3,4.50505044816499,2.61949547940576,-50.6164957697402,0.152596637263748,0.73962692232003,0,0
2.4,4.66746553119144,2.76130095882607,-50.6516091803617,0.152246596315913,0.740401878472398,0,0
2.5,4.8294947703774,2.90369661356825,-50.6866756740168,0.152766168758477,0.740259201464659,0,0
2.6,4.99163478636536,3.04652222593237,-50.7218769178616,0.153996393869358,0.738515571721758,0,0
2.7,5.15361232966224,3.18899895935616,-50.7571914199422,0.154392929360882,0.737620539553878,0,0
2.8,5.31479524333733,3.33049086451093,-50.7924177315963,0.15446079463479,0.740940551437944,0,0
2.9,5.47607101940441,3.47241824846661,-50.8277000040155,0.153835889213314,0.74682425158601,0,0
