time,x,y,z,theta,psi,left,right
0,1,1,-50,0,0,0,0
0.1,1.01670390775638,1.00026793948854,-49.9999870904406,0.011904115778466,0.023956674701768,0,0
0.2,1.06495113953954,1.00157804171307,-50.0006568807505,0.03343233754113,0.081616322445718,0,0
0.3,1.14292343011854,1.0066416992437,-50.0033094705297,0.056471996536901,0.151840329017961,0,0
0.4,1.24906596862904,1.0196472873938,-50.0092978786485,0.079598531603836,0.219578201944712,0,0
0.5,1.38015766938512,1.04404770505438,-50.019767480922,0.102308349934208,0.276578030570043,0,0
0.6,1.52864896431929,1.08045663715028,-50.03518228726,0.124400219870254,0.324742757872573,0,0
0.7,1.68480945395776,1.12684395299784,-50.0551963018768,0.145965514641391,0.369131092829612,0,0
0.8,1.84288268853881,1.18147263124822,-50.0794401403739,0.167063598038648,0.412246487207999,0,0
0.9,2.00241829279906,1.24433186508101,-50.108076504448,0.187810851975264,0.457061035626843,0,0
1,2.1619347902354,1.31528815141104,-50.141064119334,0.207981347610403,0.500856531712806,0,0
1.1,2.3222088565815,1.39511951718452,-50.1787720911154,0.227585643164626,0.543411530838962,0,0
1.2,2.48360169426624,1.48427612317678,-50.2214877818513,0.246185616716026,0.583438362942939,0,0
1.3,2.64457906332238,1.58183655272815,-50.2688834648601,0.263343876967325,0.622115553031277,0,0
1.4,2.80452485212146,1.68749546394562,-50.3207875572446,0.279232473996395,0.658193287038648,0,0
1.5,2.96267336575627,1.80049563290145,-50.3768957977898,0.29451592621397,0.692060909563045,0,0
1.6,3.11800867493084,1.91972753235256,-50.436765189894,0.308320069496786,0.722818164538288,0,0
1.7,3.2703000198292,2.04453789204114,-50.500121984076,0.321638090657472,0.748159835517607,0,0
1.8,3.42107799830207,2.1752850851773,-50.5673536951984,0.333247112436292,0.767173453221714,0,0
1.9,3.57057672718841,2.31083844599771,-50.6380946545566,0.343448610580431,0.776718530550641,0,0
2,3.71948689978052,2.44984923659119,-50.7120361693003,0.353546301863549,0.781363898750765,0,0
2.1,3.8680070672189,2.590686839966,-50.7887080047119,0.362032942161155,0.782928303809663,0,0
2.2,4.01621414499984,2.73227704375253,-50.8676128620414,0.369564902291018,0.781569847922931,0,0
2.3,4.16433603702037,2.87395053370992,-50.9483692447357,0.375638963833064,0.778640127289926,0,0
2.4,4.31246531833005,3.01506676420988,-51.0305311798622,0.380380538894615,0.77797821464047,0,0
2.5,4.46058421793087,3.15575652638338,-51.1138322236401,0.384772625141737,0.778065169849248,0,0
2.6,4.60833486312062,3.29596884971517,-51.197998683492,0.388784285229906,0.77804949292855,0,0
2.7,4.75554855242048,3.43555591908585,-51.2827979298873,0.391559370530478,0.778461290809976,0,0
2.8,4.90219323749004,3.57471462514649,-51.3680187893972,0.393912738821101,0.782356312401452,0,0
2.9,5.04729196234473,3.71299515591972,-51.4531688218313,0.397088418191252,0.787603900879218,0,0
3,5.19148384828244,3.85160984068977,-51.5387850815705,0.399526180101114,0.794249388158472,0,0
3.1,5.33449252675172,3.99071190093269,-51.6247222841776,0.400742118038609,0.803366930942216,0,0
3.2,5.4752396661333,4.12981607347047,-51.7102999062176,0.401734687119286,0.815491114925151,0,0
3.3,5.61352796578838,4.26947622866812,-51.7955193528794,0.402605691498764,0.826613530592964,0,0
